time (ms),Δθ (π),σ_θ (π)
77.099,-1.851,2.458e-03
77.299,-1.861,2.439e-03
77.498,-1.871,2.460e-03
77.698,-1.881,2.446e-03
77.898,-1.891,2.448e-03
78.098,-1.901,2.459e-03
78.298,-1.911,2.439e-03
78.498,-1.921,2.459e-03
78.698,-1.931,2.447e-03
78.898,-1.941,2.446e-03
79.097,-1.951,2.460e-03
79.297,-1.961,2.439e-03
79.497,-1.971,2.458e-03
79.697,-1.981,2.449e-03
79.897,-1.991,2.444e-03
80.097,-0.001,2.461e-03
80.297,-0.011,2.440e-03
80.496,-0.021,2.457e-03
80.696,-0.031,2.451e-03
80.896,-0.041,2.443e-03
81.096,-0.051,2.461e-03
81.296,-0.061,2.440e-03
81.496,-0.071,2.455e-03
81.696,-0.081,2.453e-03
81.896,-0.091,2.442e-03
82.095,-0.101,2.461e-03
82.295,-0.111,2.441e-03
82.495,-0.121,2.454e-03
82.695,-0.131,2.454e-03
82.895,-0.141,2.441e-03
83.095,-0.151,2.461e-03
83.295,-0.161,2.442e-03
83.494,-0.171,2.452e-03
83.694,-0.181,2.456e-03
83.894,-0.191,2.440e-03
84.094,-0.201,2.461e-03
84.294,-0.211,2.443e-03
84.494,-0.221,2.450e-03
84.694,-0.231,2.457e-03
84.894,-0.241,2.439e-03
85.093,-0.251,2.461e-03
85.293,-0.261,2.445e-03
85.493,-0.271,2.448e-03
85.693,-0.281,2.458e-03
85.893,-0.291,2.439e-03
86.093,-0.301,2.460e-03
86.293,-0.311,2.446e-03
86.492,-0.321,2.447e-03
86.692,-0.331,2.460e-03
86.892,-0.341,2.439e-03
87.092,-0.351,2.459e-03
87.292,-0.361,2.448e-03
87.492,-0.371,2.445e-03
87.692,-0.381,2.460e-03
87.892,-0.391,2.439e-03
88.091,-0.401,2.457e-03
88.291,-0.411,2.450e-03
88.491,-0.421,2.444e-03
88.691,-0.431,2.461e-03
88.891,-0.441,2.440e-03
89.091,-0.451,2.456e-03
89.291,-0.461,2.452e-03
89.490,-0.471,2.442e-03
89.690,-0.481,2.461e-03
89.890,-0.491,2.441e-03
90.090,-0.501,2.455e-03
90.290,-0.511,2.453e-03
90.490,-0.521,2.441e-03
90.690,-0.531,2.461e-03
90.890,-0.541,2.442e-03
91.089,-0.551,2.453e-03
91.289,-0.561,2.455e-03
91.489,-0.571,2.440e-03
91.689,-0.581,2.461e-03
