time (ms),ω (π/sec),Δθ (π),σ_θ (π),p (Mπ/sec),σ_p (Mπ/sec)
1.62e+02,5.00e+01,5.81e-11,1.35e-03,-6.34e-07,4.25e+01
1.63e+02,5.00e+01,5.42e-11,1.35e-03,-9.06e-07,4.25e+01
1.64e+02,5.00e+01,4.90e-11,1.35e-03,-1.15e-06,4.25e+01
1.65e+02,5.00e+01,4.27e-11,1.35e-03,-1.37e-06,4.25e+01
1.66e+02,5.00e+01,3.53e-11,1.34e-03,-1.56e-06,4.25e+01
1.67e+02,5.00e+01,2.71e-11,1.34e-03,-1.71e-06,4.25e+01
1.68e+02,5.00e+01,1.83e-11,1.34e-03,-1.81e-06,4.25e+01
1.69e+02,5.00e+01,9.06e-12,1.34e-03,-1.87e-06,4.25e+01
1.70e+02,5.00e+01,-3.53e-13,1.34e-03,-1.88e-06,4.25e+01
1.71e+02,5.00e+01,-9.71e-12,1.34e-03,-1.85e-06,4.25e+01
1.72e+02,5.00e+01,-1.88e-11,1.34e-03,-1.77e-06,4.25e+01
1.73e+02,5.00e+01,-2.73e-11,1.34e-03,-1.64e-06,4.25e+01
1.74e+02,5.00e+01,-3.52e-11,1.34e-03,-1.48e-06,4.25e+01
1.75e+02,5.00e+01,-4.21e-11,1.34e-03,-1.27e-06,4.25e+01
1.76e+02,5.00e+01,-4.79e-11,1.34e-03,-1.04e-06,4.25e+01
1.77e+02,5.00e+01,-5.24e-11,1.34e-03,-7.78e-07,4.25e+01
1.78e+02,5.00e+01,-5.56e-11,1.35e-03,-4.98e-07,4.25e+01
1.79e+02,5.00e+01,-5.74e-11,1.35e-03,-2.06e-07,4.25e+01
1.80e+02,5.00e+01,-5.77e-11,1.35e-03,9.19e-08,4.25e+01
1.81e+02,5.00e+01,-5.65e-11,1.35e-03,3.87e-07,4.25e+01
1.82e+02,5.00e+01,-5.38e-11,1.35e-03,6.73e-07,4.25e+01
1.83e+02,5.00e+01,-4.97e-11,1.35e-03,9.41e-07,4.25e+01
1.84e+02,5.00e+01,-4.44e-11,1.35e-03,1.19e-06,4.25e+01
1.85e+02,5.00e+01,-3.79e-11,1.35e-03,1.40e-06,4.25e+01
1.86e+02,5.00e+01,-3.04e-11,1.34e-03,1.58e-06,4.25e+01
1.87e+02,5.00e+01,-2.21e-11,1.34e-03,1.72e-06,4.25e+01
1.88e+02,5.00e+01,-1.32e-11,1.34e-03,1.82e-06,4.25e+01
1.89e+02,5.00e+01,-3.93e-12,1.34e-03,1.87e-06,4.25e+01
1.90e+02,5.00e+01,5.49e-12,1.34e-03,1.88e-06,4.25e+01
1.91e+02,5.00e+01,1.48e-11,1.34e-03,1.84e-06,4.25e+01
1.92e+02,5.00e+01,2.38e-11,1.34e-03,1.75e-06,4.25e+01
1.93e+02,5.00e+01,3.23e-11,1.34e-03,1.62e-06,4.25e+01
1.94e+02,5.00e+01,4.00e-11,1.34e-03,1.45e-06,4.25e+01
1.95e+02,5.00e+01,4.68e-11,1.34e-03,1.24e-06,4.25e+01
1.96e+02,5.00e+01,5.24e-11,1.34e-03,1.00e-06,4.25e+01
1.97e+02,5.00e+01,5.68e-11,1.34e-03,7.40e-07,4.25e+01
1.98e+02,5.00e+01,5.98e-11,1.34e-03,4.58e-07,4.25e+01
1.99e+02,5.00e+01,6.14e-11,1.35e-03,1.65e-07,4.25e+01
2.00e+02,5.00e+01,5.98e-11,1.34e-03,4.57e-07,4.25e+01
2.01e+02,5.00e+01,-2.46e-08,1.35e-03,-1.25e-07,4.25e+01
2.02e+02,5.00e+01,-4.92e-08,1.35e-03,-1.28e-06,4.25e+01
2.03e+02,4.99e+01,-7.37e-08,1.35e-03,-2.98e-06,4.25e+01
2.04e+02,4.98e+01,-9.82e-08,1.35e-03,-5.19e-06,4.25e+01
2.05e+02,4.97e+01,-1.23e-07,1.35e-03,-7.84e-06,4.25e+01
2.06e+02,4.96e+01,-1.47e-07,1.35e-03,-1.09e-05,4.25e+01
2.07e+02,4.94e+01,-1.71e-07,1.35e-03,-1.42e-05,4.25e+01
2.08e+02,4.92e+01,-1.95e-07,1.35e-03,-1.78e-05,4.25e+01
2.09e+02,4.90e+01,-2.19e-07,1.35e-03,-2.15e-05,4.25e+01
2.10e+02,4.88e+01,-2.43e-07,1.35e-03,-2.52e-05,4.25e+01
2.11e+02,4.85e+01,-2.66e-07,1.35e-03,-2.88e-05,4.25e+01
2.12e+02,4.82e+01,-2.89e-07,1.35e-03,-3.23e-05,4.25e+01
2.13e+02,4.79e+01,-3.12e-07,1.35e-03,-3.56e-05,4.25e+01
2.14e+02,4.76e+01,-3.35e-07,1.35e-03,-3.85e-05,4.25e+01
2.15e+02,4.73e+01,-3.57e-07,1.34e-03,-4.10e-05,4.25e+01
2.16e+02,4.69e+01,-3.79e-07,1.34e-03,-4.30e-05,4.25e+01
2.17e+02,4.65e+01,-4.01e-07,1.34e-03,-4.45e-05,4.25e+01
2.18e+02,4.61e+01,-4.22e-07,1.34e-03,-4.54e-05,4.25e+01
2.19e+02,4.57e+01,-4.43e-07,1.34e-03,-4.56e-05,4.25e+01
2.20e+02,4.52e+01,-4.63e-07,1.34e-03,-4.53e-05,4.25e+01
2.21e+02,4.48e+01,-4.83e-07,1.34e-03,-4.43e-05,4.25e+01
2.22e+02,4.43e+01,-5.03e-07,1.35e-03,-4.26e-05,4.25e+01
