time (ms),Δθ (π),σ_θ (π)
57.513,-0.875,3.454e-03
57.713,-0.878,2.297e-03
57.912,-0.891,3.496e-03
58.112,-0.906,2.815e-03
58.312,-0.910,2.803e-03
58.512,-0.919,3.510e-03
58.712,-0.936,2.318e-03
58.912,-0.942,3.462e-03
59.112,-0.948,2.918e-03
59.312,-0.964,2.734e-03
59.511,-0.974,3.558e-03
59.711,-0.978,2.355e-03
59.911,-0.992,3.421e-03
60.111,-1.006,3.020e-03
60.311,-1.009,2.670e-03
60.511,-1.020,3.596e-03
60.711,-1.036,2.406e-03
60.910,-1.041,3.372e-03
61.110,-1.048,3.119e-03
61.310,-1.065,2.612e-03
61.510,-1.074,3.624e-03
61.710,-1.078,2.470e-03
61.910,-1.093,3.318e-03
62.110,-1.105,3.213e-03
62.310,-1.109,2.563e-03
62.509,-1.120,3.642e-03
62.709,-1.136,2.544e-03
62.909,-1.141,3.258e-03
63.109,-1.148,3.302e-03
63.309,-1.165,2.525e-03
63.509,-1.173,3.650e-03
63.709,-1.177,2.628e-03
63.909,-1.193,3.194e-03
64.108,-1.205,3.384e-03
64.308,-1.208,2.499e-03
64.508,-1.221,3.649e-03
64.708,-1.236,2.718e-03
64.908,-1.240,3.128e-03
65.108,-1.249,3.459e-03
65.308,-1.265,2.486e-03
65.507,-1.272,3.638e-03
65.707,-1.277,2.812e-03
65.907,-1.294,3.061e-03
66.107,-1.304,3.526e-03
66.307,-1.308,2.487e-03
66.507,-1.321,3.618e-03
66.707,-1.336,2.909e-03
66.907,-1.339,2.995e-03
67.106,-1.349,3.585e-03
67.306,-1.365,2.503e-03
67.506,-1.372,3.590e-03
67.706,-1.378,3.007e-03
67.906,-1.394,2.931e-03
68.106,-1.404,3.634e-03
68.306,-1.408,2.532e-03
68.506,-1.422,3.554e-03
68.705,-1.435,3.104e-03
68.905,-1.439,2.871e-03
69.105,-1.449,3.674e-03
69.305,-1.466,2.575e-03
69.505,-1.471,3.511e-03
69.705,-1.478,3.198e-03
69.905,-1.494,2.817e-03
70.104,-1.503,3.705e-03
70.304,-1.507,2.630e-03
70.504,-1.522,3.462e-03
70.704,-1.535,3.289e-03
70.904,-1.538,2.771e-03
71.104,-1.550,3.726e-03
71.304,-1.565,2.695e-03
71.504,-1.570,3.409e-03
71.703,-1.578,3.374e-03
71.903,-1.595,2.734e-03
72.103,-1.603,3.737e-03
72.303,-1.607,2.768e-03
72.503,-1.623,3.352e-03
72.703,-1.635,3.454e-03
72.903,-1.638,2.708e-03
73.103,-1.650,3.739e-03
73.302,-1.665,2.848e-03
73.502,-1.670,3.293e-03
73.702,-1.678,3.527e-03
73.902,-1.695,2.694e-03
74.102,-1.702,3.733e-03
74.302,-1.707,2.933e-03
74.502,-1.723,3.232e-03
74.702,-1.734,3.593e-03
74.901,-1.738,2.692e-03
75.101,-1.751,3.718e-03
75.301,-1.765,3.021e-03
75.501,-1.769,3.173e-03
75.701,-1.779,3.650e-03
75.901,-1.795,2.703e-03
76.101,-1.801,3.695e-03
76.300,-1.808,3.111e-03
76.500,-1.824,3.115e-03
76.700,-1.833,3.699e-03
76.900,-1.837,2.726e-03
77.100,-1.851,3.664e-03
77.300,-1.865,3.200e-03
77.500,-1.869,3.062e-03
77.700,-1.879,3.740e-03
77.899,-1.895,2.760e-03
78.099,-1.901,3.628e-03
78.299,-1.908,3.287e-03
78.499,-1.924,3.013e-03
78.699,-1.933,3.771e-03
78.899,-1.937,2.806e-03
79.099,-1.952,3.586e-03
